Dur. (ms),Dur. (ms),Dur. (ms),Dur. (ms),Dur. (ms),Dur. (ms),Dur. (ms),Dur. (ms),Total_UL_DL,Total_UL_DL,Total_UL_DL,Total_UL_DL,Total_UL_DL,Total_UL_DL,Total_UL_DL,Total_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Social Media_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Google_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Email_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Youtube_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Netflix_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Gaming_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL,Other_UL_DL
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1.0,864482.0,,864482.0,864482.0,864482.0,864482.0,864482.0,1.0,872988322.0,,872988322.0,872988322.0,872988322.0,872988322.0,872988322.0,1.0,1585413.0,,1585413.0,1585413.0,1585413.0,1585413.0,1585413.0,1.0,8778341.0,,8778341.0,8778341.0,8778341.0,8778341.0,8778341.0,1.0,1044914.0,,1044914.0,1044914.0,1044914.0,1044914.0,1044914.0,1.0,32676690.0,,32676690.0,32676690.0,32676690.0,32676690.0,32676690.0,1.0,13185350.0,,13185350.0,13185350.0,13185350.0,13185350.0,13185350.0,1.0,812946425.0,,812946425.0,812946425.0,812946425.0,812946425.0,812946425.0,1.0,77671250.0,,77671250.0,77671250.0,77671250.0,77671250.0,77671250.0
1.0,1823652.0,,1823652.0,1823652.0,1823652.0,1823652.0,1823652.0,1.0,345629377.0,,345629377.0,345629377.0,345629377.0,345629377.0,345629377.0,1.0,1570185.0,,1570185.0,1570185.0,1570185.0,1570185.0,1570185.0,1.0,2905912.0,,2905912.0,2905912.0,2905912.0,2905912.0,2905912.0,1.0,7127084.0,,7127084.0,7127084.0,7127084.0,7127084.0,7127084.0,1.0,31709222.0,,31709222.0,31709222.0,31709222.0,31709222.0,31709222.0,1.0,17855187.0,,17855187.0,17855187.0,17855187.0,17855187.0,17855187.0,1.0,292426453.0,,292426453.0,292426453.0,292426453.0,292426453.0,292426453.0,1.0,180558843.0,,180558843.0,180558843.0,180558843.0,180558843.0,180558843.0
1.0,1035261.0,,1035261.0,1035261.0,1035261.0,1035261.0,1035261.0,1.0,118487293.0,,118487293.0,118487293.0,118487293.0,118487293.0,118487293.0,1.0,1624991.0,,1624991.0,1624991.0,1624991.0,1624991.0,1624991.0,1.0,4906872.0,,4906872.0,4906872.0,4906872.0,4906872.0,4906872.0,1.0,3677894.0,,3677894.0,3677894.0,3677894.0,3677894.0,3677894.0,1.0,14468930.0,,14468930.0,14468930.0,14468930.0,14468930.0,14468930.0,1.0,31212766.0,,31212766.0,31212766.0,31212766.0,31212766.0,31212766.0,1.0,58881157.0,,58881157.0,58881157.0,58881157.0,58881157.0,58881157.0,1.0,814303325.0,,814303325.0,814303325.0,814303325.0,814303325.0,814303325.0
1.0,1074638.0,,1074638.0,1074638.0,1074638.0,1074638.0,1074638.0,1.0,784759966.0,,784759966.0,784759966.0,784759966.0,784759966.0,784759966.0,1.0,3200014.0,,3200014.0,3200014.0,3200014.0,3200014.0,3200014.0,1.0,12934133.0,,12934133.0,12934133.0,12934133.0,12934133.0,12934133.0,1.0,3960064.0,,3960064.0,3960064.0,3960064.0,3960064.0,3960064.0,1.0,42665836.0,,42665836.0,42665836.0,42665836.0,42665836.0,42665836.0,1.0,13881809.0,,13881809.0,13881809.0,13881809.0,13881809.0,13881809.0,1.0,723461512.0,,723461512.0,723461512.0,723461512.0,723461512.0,723461512.0,1.0,659414334.0,,659414334.0,659414334.0,659414334.0,659414334.0,659414334.0
1.0,1365104.0,,1365104.0,1365104.0,1365104.0,1365104.0,1365104.0,1.0,707185356.0,,707185356.0,707185356.0,707185356.0,707185356.0,707185356.0,1.0,1933278.0,,1933278.0,1933278.0,1933278.0,1933278.0,1933278.0,1.0,4414096.0,,4414096.0,4414096.0,4414096.0,4414096.0,4414096.0,1.0,1258092.0,,1258092.0,1258092.0,1258092.0,1258092.0,1258092.0,1.0,40494790.0,,40494790.0,40494790.0,40494790.0,40494790.0,40494790.0,1.0,35565545.0,,35565545.0,35565545.0,35565545.0,35565545.0,35565545.0,1.0,609920783.0,,609920783.0,609920783.0,609920783.0,609920783.0,609920783.0,1.0,541959383.0,,541959383.0,541959383.0,541959383.0,541959383.0,541959383.0
1.0,941634.0,,941634.0,941634.0,941634.0,941634.0,941634.0,1.0,903975407.0,,903975407.0,903975407.0,903975407.0,903975407.0,903975407.0,1.0,372625.0,,372625.0,372625.0,372625.0,372625.0,372625.0,1.0,8902099.0,,8902099.0,8902099.0,8902099.0,8902099.0,8902099.0,1.0,6028416.0,,6028416.0,6028416.0,6028416.0,6028416.0,6028416.0,1.0,36873282.0,,36873282.0,36873282.0,36873282.0,36873282.0,36873282.0,1.0,19054441.0,,19054441.0,19054441.0,19054441.0,19054441.0,19054441.0,1.0,828219634.0,,828219634.0,828219634.0,828219634.0,828219634.0,828219634.0,1.0,187669517.0,,187669517.0,187669517.0,187669517.0,187669517.0,187669517.0
1.0,1089009.0,,1089009.0,1089009.0,1089009.0,1089009.0,1089009.0,1.0,607681403.0,,607681403.0,607681403.0,607681403.0,607681403.0,607681403.0,1.0,912788.0,,912788.0,912788.0,912788.0,912788.0,912788.0,1.0,7748843.0,,7748843.0,7748843.0,7748843.0,7748843.0,7748843.0,1.0,3872992.0,,3872992.0,3872992.0,3872992.0,3872992.0,3872992.0,1.0,30518760.0,,30518760.0,30518760.0,30518760.0,30518760.0,30518760.0,1.0,17539799.0,,17539799.0,17539799.0,17539799.0,17539799.0,17539799.0,1.0,531237049.0,,531237049.0,531237049.0,531237049.0,531237049.0,531237049.0,1.0,564619822.0,,564619822.0,564619822.0,564619822.0,564619822.0,564619822.0
1.0,1321509.0,,1321509.0,1321509.0,1321509.0,1321509.0,1321509.0,1.0,889352748.0,,889352748.0,889352748.0,889352748.0,889352748.0,889352748.0,1.0,657493.0,,657493.0,657493.0,657493.0,657493.0,657493.0,1.0,11811761.0,,11811761.0,11811761.0,11811761.0,11811761.0,11811761.0,1.0,2879508.0,,2879508.0,2879508.0,2879508.0,2879508.0,2879508.0,1.0,42776244.0,,42776244.0,42776244.0,42776244.0,42776244.0,42776244.0,1.0,15092588.0,,15092588.0,15092588.0,15092588.0,15092588.0,15092588.0,1.0,810387875.0,,810387875.0,810387875.0,810387875.0,810387875.0,810387875.0,1.0,761837216.0,,761837216.0,761837216.0,761837216.0,761837216.0,761837216.0
1.0,1361762.0,,1361762.0,1361762.0,1361762.0,1361762.0,1361762.0,1.0,307690973.0,,307690973.0,307690973.0,307690973.0,307690973.0,307690973.0,1.0,1726277.0,,1726277.0,1726277.0,1726277.0,1726277.0,1726277.0,1.0,10229119.0,,10229119.0,10229119.0,10229119.0,10229119.0,10229119.0,1.0,5380302.0,,5380302.0,5380302.0,5380302.0,5380302.0,5380302.0,1.0,39451322.0,,39451322.0,39451322.0,39451322.0,39451322.0,39451322.0,1.0,23751202.0,,23751202.0,23751202.0,23751202.0,23751202.0,23751202.0,1.0,229980251.0,,229980251.0,229980251.0,229980251.0,229980251.0,229980251.0,1.0,414908351.0,,414908351.0,414908351.0,414908351.0,414908351.0,414908351.0
1.0,951292.0,,951292.0,951292.0,951292.0,951292.0,951292.0,1.0,834163359.0,,834163359.0,834163359.0,834163359.0,834163359.0,834163359.0,1.0,3161403.0,,3161403.0,3161403.0,3161403.0,3161403.0,3161403.0,1.0,3872713.0,,3872713.0,3872713.0,3872713.0,3872713.0,3872713.0,1.0,5974816.0,,5974816.0,5974816.0,5974816.0,5974816.0,5974816.0,1.0,24379572.0,,24379572.0,24379572.0,24379572.0,24379572.0,24379572.0,1.0,18933702.0,,18933702.0,18933702.0,18933702.0,18933702.0,18933702.0,1.0,765055811.0,,765055811.0,765055811.0,765055811.0,765055811.0,765055811.0,1.0,545316477.0,,545316477.0,545316477.0,545316477.0,545316477.0,545316477.0
