count,mean,std,min,25%,50%,75%,max
1.0,872988322.0,,872988322.0,872988322.0,872988322.0,872988322.0,872988322.0
1.0,903975407.0,,903975407.0,903975407.0,903975407.0,903975407.0,903975407.0
1.0,834163359.0,,834163359.0,834163359.0,834163359.0,834163359.0,834163359.0
1.0,118487293.0,,118487293.0,118487293.0,118487293.0,118487293.0,118487293.0
1.0,784759966.0,,784759966.0,784759966.0,784759966.0,784759966.0,784759966.0
1.0,607681403.0,,607681403.0,607681403.0,607681403.0,607681403.0,607681403.0
1.0,889352748.0,,889352748.0,889352748.0,889352748.0,889352748.0,889352748.0
1.0,307690973.0,,307690973.0,307690973.0,307690973.0,307690973.0,307690973.0
1.0,707185356.0,,707185356.0,707185356.0,707185356.0,707185356.0,707185356.0
1.0,345629377.0,,345629377.0,345629377.0,345629377.0,345629377.0,345629377.0
